#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|LMBR||BHZ|-8.7922|120.6631|205.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-11-06T00:00:00|2016-12-31T23:59:59
YS|MALK||BH1|-9.5794|124.8743|50.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-08T00:00:00|2016-12-02T03:01:58
YS|MALK||BH1|-9.5794|124.8743|24.1|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-02T03:01:59|2019-01-16T07:42:34
YS|MALK||BH2|-9.5794|124.8743|50.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-08T00:00:00|2016-12-02T03:01:58
YS|MALK||BH2|-9.5794|124.8743|24.1|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-02T03:01:59|2019-01-16T07:42:34
YS|MALK||BHZ|-9.5794|124.8743|50.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-10-08T00:00:00|2016-12-02T03:01:58
YS|MALK||BHZ|-9.5794|124.8743|24.1|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-12-02T03:01:59|2019-01-16T07:42:34
YS|MELO||BH1|-9.8698|120.6445|26.0|0.0|0.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-19T00:00:00|2016-11-28T05:58:58
YS|MELO||BH1|-9.8698|120.6445|26.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-28T05:58:59|2017-05-19T08:31:56
YS|MELO||BH2|-9.8698|120.6445|26.0|0.0|90.0|0.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-19T00:00:00|2016-11-28T05:58:58
YS|MELO||BH2|-9.8698|120.6445|26.0|0.0|0.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-28T05:58:59|2017-05-19T08:31:56
YS|MELO||BHZ|-9.8698|120.6445|26.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/PASSCAL 3-chan Quanterra 330|6.27366E8|0.3|m/s|50.0|2014-10-19T00:00:00|2016-11-28T05:58:58
YS|MELO||BHZ|-9.8698|120.6445|26.0|0.0|0.0|90.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-28T05:58:59|2017-05-19T08:31:56
YS|MTNG||BH1|-8.2969|125.1025|108.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-11-12T00:00:00|2016-11-22T04:40:58
YS|MTNG||BH1|-8.2969|125.1025|108.0|0.0|90.0|0.0|Trillium Compact 120s (BB)|1.581829951E8|1.0|M/S|50.0|2016-11-22T04:40:59|2018-07-26T06:18:09
