#            620082
WCH        35.30       0.50   S
XJI        24.10       0.50   P
XJI        39.60       0.50   S
GZA        24.90       0.50   P
GZA        41.10       0.50   S
MXI        28.90       0.50   P
MXI        45.30       0.50   S
#               821
YZP        11.20       1.00   P
YZP        20.00       1.00   S
XJI        14.50       0.50   P
XJI        24.00       0.50   S
GZA        18.00       0.50   P
GZA        29.80       0.50   S
WCH        18.60       0.50   P
WCH        30.60       0.50   S
MEK        29.40       1.00   P
MEK        47.90       1.00   S
#               822
GZA        11.70       0.50   P
GZA        19.30       0.50   S
XJI        14.20       0.50   P
XJI        22.40       0.50   S
YZP        19.60       1.00   P
YZP        32.80       1.00   S
SMI        24.30       0.50   P
SMI        40.30       0.50   S
WCH        26.40       0.50   P
WCH        44.40       0.50   S
DFU        29.60       0.50   P
DFU        48.40       0.50   S
MEK        30.50       1.00   P
MEK        50.80       1.00   S
#               854
XJI        26.60       0.50   P
XJI        43.30       0.50   S
YZP        31.90       1.00   P
YZP        52.90       1.00   S
SMI         8.60       0.50   P
SMI        15.80       0.50   S
GZA         9.60       0.50   P
GZA        14.90       0.50   S
JLO        19.00       0.50   P
JLO        32.00       0.50   S
#               895
JLO        11.80       0.50   P
JLO        19.50       0.50   S
SMI        22.70       0.50   P
SMI        37.00       0.50   S
GZA        22.90       0.50   P
GZA        37.40       0.50   S
DFU        28.60       0.50   P
DFU        48.00       0.50   S
#               899
JLO        12.10       0.50   P
JLO        18.90       0.50   S
SMI        22.90       0.50   P
SMI        37.90       0.50   S
GZA        23.00       0.50   P
GZA        38.10       0.50   S
DFU        28.90       0.50   P
DFU        47.90       0.50   S
#               911
JLO        11.80       0.50   P
JLO        20.00       0.50   S
GZA        22.80       0.50   P
GZA        37.80       0.50   S
SMI        22.90       0.50   P
SMI        37.60       0.50   S
DFU        29.20       0.50   P
DFU        48.60       0.50   S
#               924
JLO        12.60       0.50   P
JLO        19.90       0.50   S
SMI        23.10       0.50   P
SMI        38.20       0.50   S
GZA        23.10       0.50   P
GZA        39.10       0.50   S
DFU        29.10       0.50   P
DFU        48.10       0.50   S
#               945
DFU        29.80       0.50   P
DFU        49.60       0.50   S
JLO        12.40       0.50   P
JLO        20.40       0.50   S
SMI        23.40       0.50   P
SMI        38.60       0.50   S
GZA        23.80       0.50   P
GZA        39.40       0.50   S
#               946
YZP        48.80       1.00   P
JLO        12.80       0.50   P
JLO        20.80       0.50   S
SMI        23.40       0.50   P
SMI        38.50       0.50   S
GZA        23.40       0.50   P
GZA        38.60       0.50   S
DFU        29.20       0.50   P
DFU        49.00       0.50   S
#               951
JLO        12.70       0.50   P
JLO        20.50       0.50   S
GZA        23.30       0.50   P
GZA        38.70       0.50   S
SMI        23.50       0.50   P
SMI        39.10       0.50   S
DFU        29.10       0.50   P
DFU        48.90       0.50   S
#               960
JLO        12.30       0.50   P
JLO        20.30       0.50   S
GZA        23.10       0.50   P
GZA        38.60       0.50   S
SMI        23.50       0.50   P
SMI        39.10       0.50   S
DFU        29.10       0.50   P
DFU        48.10       0.50   S
#               970
JLO        12.50       0.50   P
JLO        20.50       0.50   S
GZA        23.30       0.50   P
GZA        38.10       0.50   S
SMI        23.40       0.50   P
SMI        38.50       0.50   S
DFU        28.50       0.50   P
DFU        47.10       0.50   S
#               976
JLO        12.60       0.50   P
JLO        20.20       0.50   S
GZA        23.30       0.50   P
GZA        38.60       0.50   S
SMI        23.40       0.50   P
SMI        38.80       0.50   S
DFU        30.00       0.50   P
DFU        49.00       0.50   S
#              1010
JLO        12.20       0.50   P
JLO        20.10       0.50   S
GZA        23.30       0.50   P
GZA        38.30       0.50   S
SMI        23.60       0.50   P
SMI        38.90       0.50   S
DFU        29.10       0.50   P
DFU        48.30       0.50   S
#              1034
JLO        12.40       0.50   P
JLO        20.30       0.50   S
GZA        23.40       0.50   P
GZA        38.40       0.50   S
SMI        23.60       0.50   P
SMI        38.50       0.50   S
DFU        29.10       0.50   P
DFU        48.10       0.50   S
#              1035
JLO        12.40       0.50   P
JLO        20.60       0.50   S
GZA        23.20       0.50   P
GZA        38.60       0.50   S
SMI        23.60       0.50   P
SMI        38.60       0.50   S
DFU        29.20       0.50   P
DFU        48.80       0.50   S
#              1095
MXI        20.30       0.50   S
XJI        18.70       0.50   P
XJI        31.00       0.50   S
MEK        25.40       1.00   P
MEK        41.10       1.00   S
GZA        30.50       0.50   P
GZA        50.00       0.50   S
WCH         7.50       0.50   P
WCH        12.10       0.50   S
YZP         7.90       1.00   P
YZP        13.30       1.00   S
#              1153
JLO        12.50       0.50   P
JLO        20.20       0.50   S
GZA        23.20       0.50   P
GZA        38.50       0.50   S
SMI        23.70       0.50   P
SMI        38.70       0.50   S
DFU        29.50       0.50   P
DFU        48.50       0.50   S
#              1155
JLO        12.50       0.50   P
JLO        20.30       0.50   S
GZA        23.10       0.50   P
GZA        38.40       0.50   S
SMI        23.80       0.50   P
SMI        38.50       0.50   S
DFU        29.80       0.50   P
DFU        49.20       0.50   S
#              1171
JLO        12.80       0.50   P
JLO        20.60       0.50   S
GZA        23.40       0.50   P
GZA        38.80       0.50   S
SMI        23.60       0.50   P
SMI        38.50       0.50   S
DFU        29.30       0.50   P
DFU        49.00       0.50   S
#              1240
GZA        11.30       0.50   P
GZA        18.10       0.50   S
SMI        11.70       0.50   P
SMI        19.30       0.50   S
XJI        25.10       0.50   P
XJI        41.30       0.50   S
YZP        28.30       1.00   P
YZP        47.10       1.00   S
#              1243
XJI        14.00       0.50   P
XJI        22.80       0.50   S
WCH        20.00       0.50   P
WCH        33.00       0.50   S
MXI        23.90       0.50   P
MXI        39.60       0.50   S
YZP        25.80       1.00   P
YZP        43.20       1.00   S
GZA        30.70       0.50   P
GZA        50.60       0.50   S
MEK         4.90       1.00   P
MEK         7.50       1.00   S
#              1247
GZA        23.80       0.50   P
GZA        40.00       0.50   S
SMI        24.10       0.50   P
SMI        40.20       0.50   S
DFU        29.60       0.50   P
DFU        49.50       0.50   S
JLO        12.50       0.50   P
JLO        20.50       0.50   S
#              1248
SMI        22.10       0.50   P
SMI        36.50       0.50   S
GZA        23.30       0.50   P
GZA        38.80       0.50   S
SMI        23.50       0.50   P
SMI        39.50       0.50   S
DFU        29.00       0.50   P
DFU        48.20       0.50   S
JLO        12.50       0.50   P
JLO        20.30       0.50   S
#              1250
JLO        14.00       0.50   P
JLO        21.80       0.50   S
SMI        25.20       0.50   P
SMI        40.30       0.50   S
GZA        25.20       0.50   P
GZA        40.60       0.50   S
DFU        30.50       0.50   P
DFU        49.50       0.50   S
#              1252
DFU        29.10       0.50   P
DFU        49.10       0.50   S
JLO        12.70       0.50   P
JLO        20.50       0.50   S
GZA        23.20       0.50   P
GZA        38.60       0.50   S
SMI        23.70       0.50   P
SMI        39.70       0.50   S
#              1264
MXI         2.60       0.50   P
MXI         4.30       0.50   S
WCH         5.30       0.50   P
WCH         8.90       0.50   S
YZP        15.60       1.00   P
YZP        26.50       1.00   S
MEK        27.00       1.00   P
MEK        44.70       1.00   S
XJI        27.20       0.50   P
XJI        44.90       0.50   S
#              1277
DFU        33.40       0.50   P
DFU        54.60       0.50   S
WCH        10.40       0.50   P
WCH        17.00       0.50   S
MEK        13.70       1.00   P
MEK        22.20       1.00   S
MXI        15.10       0.50   P
MXI        24.30       0.50   S
XJI        15.40       0.50   P
XJI        25.00       0.50   S
YZP        17.30       1.00   P
YZP        28.60       1.00   S
#              1279
JLO        13.00       0.50   P
JLO        21.20       0.50   S
GZA        23.90       0.50   P
GZA        39.70       0.50   S
SMI        24.20       0.50   P
SMI        40.60       0.50   S
DFU        29.90       0.50   P
DFU        49.70       0.50   S
#              1281
JLO        12.50       0.50   P
JLO        20.40       0.50   S
GZA        23.40       0.50   P
GZA        38.60       0.50   S
SMI        24.00       0.50   P
SMI        40.00       0.50   S
DFU        29.20       0.50   P
DFU        49.00       0.50   S
#              1285
JLO        12.40       0.50   P
JLO        20.50       0.50   S
GZA        23.20       0.50   P
GZA        38.70       0.50   S
SMI        23.90       0.50   P
SMI        38.90       0.50   S
DFU        29.70       0.50   P
DFU        48.70       0.50   S
#              1287
JLO        12.50       0.50   P
JLO        21.20       0.50   S
GZA        23.30       0.50   P
GZA        38.70       0.50   S
SMI        24.30       0.50   P
SMI        40.10       0.50   S
DFU        28.70       0.50   P
DFU        47.70       0.50   S
#              1288
GZA        24.30       0.50   P
GZA        40.30       0.50   S
SMI        24.70       0.50   P
SMI        40.90       0.50   S
DFU        30.30       0.50   P
DFU        50.30       0.50   S
JLO        13.10       0.50   P
JLO        21.70       0.50   S
#              1298
JLO        12.30       0.50   P
JLO        20.00       0.50   S
GZA        22.80       0.50   P
GZA        37.30       0.50   S
SMI        23.10       0.50   P
SMI        38.10       0.50   S
DFU        29.10       0.50   P
DFU        48.90       0.50   S
#              1300
JLO        12.00       0.50   P
JLO        19.80       0.50   S
GZA        23.00       0.50   P
GZA        38.50       0.50   S
SMI        23.30       0.50   P
SMI        38.50       0.50   S
DFU        29.20       0.50   P
DFU        49.20       0.50   S
#              1311
GZA        23.60       0.50   P
GZA        38.80       0.50   S
SMI        24.00       0.50   P
SMI        39.70       0.50   S
DFU        29.30       0.50   P
DFU        49.20       0.50   S
JLO        13.20       0.50   P
JLO        21.10       0.50   S
#              1321
JLO        12.80       0.50   P
JLO        21.50       0.50   S
SMI        24.80       0.50   P
SMI        40.60       0.50   S
GZA        24.90       0.50   P
GZA        40.60       0.50   S
DFU        30.90       0.50   P
DFU        50.90       0.50   S
#              1331
JLO        12.60       0.50   P
JLO        20.60       0.50   S
SMI        23.20       0.50   P
SMI        38.20       0.50   S
GZA        23.60       0.50   P
GZA        38.80       0.50   S
DFU        29.40       0.50   P
DFU        49.10       0.50   S
#              1352
JLO        13.10       0.50   P
JLO        21.60       0.50   S
GZA        24.20       0.50   P
GZA        40.40       0.50   S
SMI        24.40       0.50   P
SMI        40.30       0.50   S
DFU        29.60       0.50   P
DFU        49.40       0.50   S
#              1388
JLO        12.20       0.50   P
JLO        19.50       0.50   S
GZA        23.00       0.50   P
GZA        38.50       0.50   S
SMI        23.00       0.50   P
SMI        38.00       0.50   S
DFU        29.50       0.50   P
DFU        48.90       0.50   S
XJI        36.80       0.50   P
XJI        63.90       0.50   S
#              1424
JLO        13.00       0.50   P
JLO        20.90       0.50   S
GZA        23.90       0.50   P
GZA        39.40       0.50   S
SMI        24.60       0.50   P
SMI        39.80       0.50   S
DFU        29.80       0.50   P
DFU        49.80       0.50   S
#              1439
GZA        10.20       0.50   P
GZA        16.60       0.50   S
XJI        13.70       0.50   P
XJI        21.70       0.50   S
YZP        19.00       1.00   P
YZP        31.60       1.00   S
EMS        36.00       1.00   S
SMI        22.80       0.50   P
SMI        37.90       0.50   S
WCH        25.10       0.50   P
WCH        41.50       0.50   S
DFU        27.60       0.50   P
DFU        46.20       0.50   S
MEK        29.50       1.00   P
MEK        48.50       1.00   S
WMP        31.20       1.00   P
WMP        51.50       1.00   S
JLO        32.80       0.50   P
JLO        54.40       0.50   S
#              1442
YZP         5.70       1.00   P
YZP         9.70       1.00   S
